16369,-12353,31.993,-22.494,0.011
16512,-8244,31.998,-14.997,0.008
16584,-4065,31.994,-7.498,0.004
16588,153,31.996,0.007,0.001
16515,4361,31.989,7.509,-0.007
16390,8517,32.008,14.998,-0.008
16189,12603,32.008,22.504,-0.009
15928,16574,32.004,30.006,-0.014
12093,16556,24.502,30.012,-0.011
8163,16532,17.003,30.011,-0.01
4163,16508,9.499,30.007,-0.008
936,16489,3.507,30.004,-0.007
-955,16476,0.013,29.997,-0.004
-4196,16460,-5.991,30,-0.008
-8214,16441,-13.491,30.006,-0.012
-12164,16419,-20.988,30.007,-0.02
-16024,16397,-28.492,30.004,-0.025
-16240,12410,-28.493,22.507,-0.024
-16397,8315,-28.498,15.012,-0.023
-16488,4133,-28.5,7.503,-0.021
-16508,-84,-28.495,0.013,-0.019
-16453,-4314,-28.505,-7.498,-0.017
-16331,-8500,-28.504,-14.993,-0.014
-16147,-12617,-28.51,-22.492,-0.01
-15902,-16630,-28.511,-29.993,-0.009
-12032,-16597,-21.011,-29.994,-0.004
-8063,-16566,-13.511,-29.996,0.002
-4033,-16538,-6.016,-30.004,0.007
-783,-16508,-0.018,-29.999,0.012
1121,-16486,3.492,-29.985,0.011
4366,-16457,9.496,-29.984,0.013
8377,-16427,16.993,-29.99,0.014
12322,-16393,24.493,-29.989,0.02
16169,-16358,31.996,-29.99,0.016
19891,-16323,39.493,-29.99,0.017
20137,-12316,39.492,-22.491,0.013
20313,-8212,39.499,-14.998,0.009
20405,-4030,39.499,-7.493,0.005
20420,181,39.506,0.004,0
20335,4389,39.496,7.506,-0.002
20183,8544,39.506,14.998,-0.006
19948,12625,39.507,22.5,-0.011
19640,16596,39.505,30.004,-0.013
19278,20430,39.515,37.502,-0.016
15624,20407,32.013,37.497,-0.015
11857,20390,24.516,37.504,-0.014
7997,20371,17.017,37.506,-0.013
4071,20352,9.514,37.507,-0.011
904,20336,3.521,37.506,-0.008
-963,20324,0.009,37.498,-0.001
-4135,20308,-5.985,37.498,-0.008
-8080,20289,-13.485,37.501,-0.013
-11961,20271,-20.984,37.504,-0.02
-15755,20254,-28.487,37.511,-0.024
-19437,20236,-35.99,37.516,-0.029
-19766,16377,-35.991,30.006,-0.029
-20027,12386,-35.991,22.507,-0.028
-20222,8289,-35.994,15.008,-0.028
-20338,4110,-35.993,7.509,-0.025
-20361,-110,-36.001,0.011,-0.023
-20305,-4340,-36.003,-7.494,-0.023
-20164,-8529,-36.004,-14.99,-0.018
-19945,-12643,-36.006,-22.486,-0.016
-19653,-16658,-36.007,-29.988,-0.014
-19300,-20540,-36.012,-37.491,-0.012
-15604,-20507,-28.512,-37.489,-0.006
-11803,-20475,-21.022,-37.491,-0.002
-7903,-20445,-13.522,-37.496,0.003
-3935,-20417,-6.015,-37.502,0.009
-744,-20389,-0.015,-37.502,0.013
1120,-20361,3.487,-37.479,0.013
4310,-20335,9.497,-37.485,0.016
8247,-20303,16.987,-37.486,0.017
12125,-20271,24.489,-37.493,0.018
15911,-20233,31.99,-37.487,0.02
19576,-20201,39.486,-37.493,0.021
23107,-20167,46.989,-37.492,0.023
23469,-16291,46.991,-29.995,0.018
23757,-12287,46.994,-22.499,0.013
23958,-8177,46.992,-14.996,0.008
24070,-4001,46.998,-7.501,0.005
24087,212,47.001,0.002,0.002
23998,4418,46.995,7.504,-0.003
23826,8572,47.005,14.997,-0.007
23560,12650,47.008,22.499,-0.011
23210,16619,47.004,30.003,-0.012
22795,20447,47.012,37.493,-0.016
22314,24129,47.005,45.004,-0.02
18856,24111,39.507,45.005,-0.018
15272,24092,32.009,45.004,-0.018
11577,24074,24.511,45.005,-0.017
7799,24057,17.011,45.005,-0.015
3956,24042,9.51,45.01,-0.012
857,24026,3.513,45.006,-0.011
-954,24016,0.021,45,-0.003
-4062,24000,-5.977,45,-0.009
-7923,23986,-13.478,45.007,-0.014
-11726,23966,-20.98,45.005,-0.02
-15444,23951,-28.481,45.006,-0.024
-19052,23935,-35.98,45.011,-0.03
-22545,23919,-43.479,45.013,-0.035
-22988,20220,-43.486,37.518,-0.035
-23367,16359,-43.486,30.012,-0.035
-23676,12369,-43.49,22.514,-0.033
-23903,8265,-43.495,15.012,-0.032
-24038,4086,-43.494,7.514,-0.031
-24069,-139,-43.5,0.012,-0.03
-24008,-4371,-43.501,-7.493,-0.027
-23849,-8558,-43.505,-14.987,-0.026
-23603,-12678,-43.509,-22.49,-0.021
-23272,-16690,-43.512,-29.987,-0.017
-22870,-20569,-43.522,-37.486,-0.018
-22398,-24293,-43.52,-44.985,-0.014
-18895,-24266,-36.019,-44.989,-0.009
-15266,-24233,-28.517,-44.989,-0.004
-11535,-24203,-21.02,-44.991,0.001
-7712,-24171,-13.517,-44.994,0.006
-3833,-24142,-6.021,-44.999,0.013
-715,-24119,-0.025,-44.999,0.014
1120,-24091,3.488,-44.983,0.019
4236,-24064,9.489,-44.986,0.019
8098,-24032,16.989,-44.989,0.02
11898,-23996,24.491,-44.987,0.022
